playerID,num_years,stint,G,AB,R,H,1B,2B,3B,AVG,SLG,HR,RBI,OBP,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,Full Name,inducted,weight,height,bats,throws,debut,finalGame,retroID,bbrefID
lowelmi01,13,13,1601,5813,771,1619,995,394,7,0.278513676,0.463788061,223,952,0.346071538,30,14,548,817,45,52,1,84,170,Mike Lowell,N,195,76,R,R,9/13/1998,10/2/2010,lowem001,lowelmi01
sheffga01,24,26,2576,9217,1636,2689,1686,467,27,0.291743517,0.51394163,509,1676,0.400162631,253,104,1475,1171,130,135,9,111,235,Gary Sheffield,N,190,71,R,R,9/3/1988,9/30/2009,shefg001,sheffga01
kentje01,19,21,2298,8498,1320,2461,1477,560,47,0.289597552,0.499646976,377,1518,0.359616187,94,60,801,1522,61,125,10,103,224,Jeff Kent,N,185,73,R,R,4/12/1992,9/27/2008,kentj001,kentje01
kendaja01,16,17,2085,7627,1030,2195,1691,394,35,0.287793366,0.378130326,75,744,0.369550252,189,89,721,686,51,254,36,63,176,Jason Kendall,N,181,72,R,R,4/1/1996,8/30/2010,kendj001,kendaja01
anderga01,17,17,2228,8640,1084,2529,1684,522,36,0.292708333,0.461111111,287,1365,0.331247303,80,47,429,1224,104,8,13,87,197,Garret Anderson,N,190,75,L,L,7/27/1994,8/6/2010,andeg001,anderga01
walkela01,18,19,1988,6907,1355,2160,1244,471,62,0.31272622,0.565223686,383,1311,0.408845209,230,76,913,1231,117,138,7,65,153,Larry Walker,N,185,74,L,R,8/16/1989,10/2/2005,walkl001,walkela01
sweenmi01,17,18,1454,5188,759,1540,995,325,5,0.296838859,0.485736315,215,909,0.372120596,53,25,522,613,61,74,5,59,142,Mike Sweeney,N,195,73,R,R,9/4/1995,10/3/2010,sweem002,sweenmi01
garcino01,15,16,1434,5586,927,1747,1096,370,52,0.312746151,0.520587182,229,936,0.367072182,95,31,403,554,54,59,5,63,129,Nomar Garciaparra,N,165,72,R,R,8/31/1996,10/4/2009,garcn001,garcino01
raineti01,24,25,2502,8872,1571,2605,1892,430,113,0.293620379,0.425045086,170,980,0.394058082,808,146,1330,966,148,42,39,76,142,Tim Raines,N,160,68,B,R,9/11/1979,9/29/2002,raint001,raineti01
mcgwima01,17,18,1874,6187,1167,1626,785,252,6,0.262809116,0.588168741,583,1414,0.405789676,12,8,1317,1596,150,75,3,78,147,Mark McGwire,N,215,77,R,R,8/22/1986,10/7/2001,mcgwm001,mcgwima01
glaustr01,13,13,1537,5410,889,1375,752,293,10,0.254158965,0.489463956,320,950,0.362001564,56,29,854,1377,40,46,0,45,138,Troy Glaus,N,220,77,R,R,7/31/1998,10/1/2010,glaut001,glaustr01
bagweje01,15,15,2150,7797,1517,2314,1345,488,32,0.296780813,0.540336027,449,1529,0.41719712,202,78,1401,1558,155,128,3,102,221,Jeff Bagwell,N,195,72,R,R,4/8/1991,10/2/2005,bagwj001,bagweje01
martied01,18,18,2055,7213,1219,2247,1409,514,15,0.311520865,0.5154582,309,1261,0.425299145,49,30,1283,1202,113,89,10,77,190,Edgar Martinez,N,175,72,R,R,9/12/1987,10/3/2004,marte001,martied01
griffke02,23,24,2671,9801,1662,2781,1589,524,38,0.283746556,0.537802265,630,1836,0.382949229,184,69,1312,1779,246,81,8,102,199,Ken Griffey,Y,195,75,L,L,4/3/1989,5/31/2010,grifk002,griffke02
grudzma01,16,17,1802,7052,946,2040,1523,391,36,0.289279637,0.393221781,90,640,0.333860551,133,52,364,954,24,105,40,42,174,Mark Grudzielanek,N,185,73,R,R,4/28/1995,6/6/2010,grudm001,grudzma01
trammal01,20,20,2293,8288,1231,2365,1713,412,55,0.285352317,0.415299228,185,1003,0.354876868,236,109,850,874,48,37,124,76,156,Alan Trammell,N,165,72,R,R,9/9/1977,9/29/1996,trama001,trammal01
eckstda01,11,12,1311,5041,701,1414,1127,232,20,0.280499901,0.355286649,35,392,0.34559086,123,45,376,418,3,143,106,39,88,David Eckstein,N,170,66,R,R,4/3/2001,10/3/2010,ecksd001,eckstda01
castilu01,16,17,1720,6510,1001,1889,1608,194,59,0.290168971,0.350998464,28,443,0.368699905,370,142,800,850,13,12,123,26,120,Luis Castillo,N,145,71,B,R,8/8/1996,10/3/2010,castl001,castilu01
sosasa01,19,20,2354,8813,1475,2408,1375,379,45,0.273232724,0.53375695,609,1667,0.353832353,234,107,929,2306,154,59,17,78,202,Sammy Sosa,N,165,72,R,R,6/16/1989,9/29/2007,sosas001,sosasa01
ausmubr01,19,20,1971,6279,718,1579,1195,270,34,0.251473165,0.343526039,80,607,0.331687359,102,53,634,1034,69,69,82,37,201,Brad Ausmus,N,190,71,R,R,7/28/1993,10/3/2010,ausmb001,ausmubr01
winnra01,15,17,1717,6186,863,1759,1223,367,59,0.284351762,0.416100873,110,662,0.345024112,215,84,526,1010,23,53,58,55,98,Randy Winn,N,175,74,B,R,5/11/1998,10/3/2010,winnr001,winnra01
piazzmi01,18,21,1912,6911,1048,2127,1348,344,8,0.307770221,0.545217769,427,1335,0.388037004,17,20,759,1113,146,30,0,45,229,Mike Piazza,Y,200,75,R,R,9/1/1992,9/30/2007,piazm001,piazzmi01
mcgrifr01,21,23,2460,8757,1349,2490,1532,441,24,0.284343953,0.509078452,493,1550,0.387218409,72,38,1305,1882,171,39,2,71,226,Fred McGriff,N,200,75,L,L,5/17/1986,7/15/2004,mcgrf001,mcgrifr01
bondsba01,22,22,2986,9847,2227,2935,1495,601,77,0.298060323,0.606885346,762,1996,0.473062453,514,141,2558,1539,688,106,4,91,165,Barry Bonds,N,185,73,L,L,5/30/1986,9/26/2007,bondb001,bondsba01
edmonji01,19,21,2011,6858,1251,1949,1094,437,25,0.284193642,0.52712161,393,1199,0.382954968,67,50,998,1729,91,49,10,65,122,Jim Edmonds,N,190,73,L,L,9/9/1993,9/21/2010,edmoj001,edmonji01
aurilri01,16,17,1652,5721,745,1576,1067,301,22,0.275476315,0.433315854,186,756,0.330779055,23,18,450,861,22,24,36,47,140,Rich Aurilia,N,170,72,R,R,9/6/1995,10/4/2009,aurir001,aurilri01
delgaca01,17,17,2035,7283,1241,2038,1064,483,18,0.27982974,0.545928875,473,1512,0.396358702,14,8,1109,1745,186,172,0,93,152,Carlos Delgado,N,215,75,L,R,10/1/1993,5/10/2009,delgc001,delgaca01
booneaa01,13,14,1152,3871,519,1017,658,216,17,0.262722811,0.424954792,126,555,0.329466357,107,30,303,707,20,80,39,36,74,Aaron Boone,N,190,74,R,R,6/20/1997,10/4/2009,boona001,booneaa01
clarkto02,16,17,1559,4532,629,1188,693,233,11,0.262135922,0.484554281,251,824,0.346086957,6,9,527,1209,55,21,0,40,133,Tony Clark,N,205,80,B,R,9/3/1995,7/12/2009,clart002,clarkto02
mattido01,14,14,1785,7003,1007,2153,1469,442,20,0.307439669,0.471369413,222,1099,0.36945436,14,9,588,444,136,21,13,96,191,Don Mattingly,N,175,72,L,L,9/8/1982,10/1/1995,mattd001,mattido01
gilesbr02,16,17,1847,6527,1121,1897,1144,411,55,0.290638885,0.502374751,287,1078,0.408432977,109,45,1183,835,114,51,4,70,160,Brian Giles,N,195,71,L,L,9/16/1995,6/18/2009,gileb002,gilesbr02
floydcl01,19,22,1621,5319,824,1479,883,340,23,0.278059786,0.482045497,233,865,0.367393427,148,43,601,1064,87,91,4,48,85,Cliff Floyd,N,220,77,L,R,9/18/1993,6/17/2009,floyc001,floydcl01
erstada01,14,14,1654,6024,913,1697,1224,316,33,0.281706507,0.40687251,124,699,0.340377358,179,58,475,939,46,37,36,43,87,Darin Erstad,N,195,74,L,L,6/14/1996,10/4/2009,erstd001,erstada01
biggicr01,20,20,2850,10876,1844,3060,2046,668,55,0.281353439,0.433155572,291,1175,0.366720128,414,124,1160,1753,68,285,101,81,150,Craig Biggio,Y,185,71,R,R,6/26/1988,9/30/2007,biggc001,biggicr01
dyeje01,15,16,1763,6487,984,1779,1066,363,25,0.274240789,0.488207184,325,1072,0.341836735,46,26,597,1308,40,63,2,65,184,Jermaine Dye,N,210,76,R,R,5/17/1996,10/4/2009,dye-j001,dyeje01
snowjt01,16,16,1716,5641,798,1509,1008,293,19,0.267505761,0.426697394,189,877,0.363277693,20,23,760,1142,61,64,24,64,135,J. T. Snow,N,200,74,L,L,9/20/1992,9/27/2008,snowj001,snowj.01
loducpa01,13,15,1082,3892,483,1112,802,222,8,0.285714286,0.408530319,80,481,0.340649078,20,19,266,295,23,58,42,44,138,Paul Lo Duca,N,193,70,R,R,6/21/1998,9/27/2008,lodup001,loducpa01
thomafr04,20,21,2322,8199,1494,2468,1440,495,12,0.301012319,0.554945725,521,1704,0.428627221,32,23,1667,1397,168,87,0,121,225,Frank Thomas,Y,240,77,R,R,8/2/1990,8/29/2008,thomf001,thomafr04
coxbo01,2,2,220,628,50,141,108,22,2,0.224522293,0.308917197,9,58,0.323287671,3,3,75,126,14,6,3,7,17,Bobby Cox,Y,180,71,R,R,4/14/1968,10/1/1969,cox-b103,coxbo01
jonesja05,1,1,40,107,11,23,14,6,0,0.214953271,0.355140187,3,11,0.297520661,0,1,10,21,0,3,0,1,1,Jason Jones,N,210,75,B,R,7/23/2003,9/28/2003,jonej004,jonesja04
sexsori01,14,16,1367,4928,748,1286,703,260,17,0.260957792,0.506899351,306,943,0.3472937,14,13,588,1313,31,52,0,36,144,Richie Sexson,N,205,78,R,R,9/14/1997,8/13/2008,sexsr001,sexsori01
larusto01,7,8,132,176,15,35,28,5,2,0.198863636,0.25,0,7,0.295566502,0,0,23,37,1,1,1,2,2,Tony LaRussa,Y,175,72,R,R,5/10/1963,4/6/1973,larut101,larusto01
aloumo01,18,19,1942,7037,1109,2134,1342,421,39,0.303254228,0.515702714,332,1287,0.376485303,106,37,737,894,91,48,9,82,195,Moises Alou,N,185,75,R,R,7/26/1990,6/10/2008,aloum001,aloumo01
caseyse01,13,14,1405,5066,690,1531,1067,322,12,0.302210817,0.447493091,130,735,0.374409242,18,8,477,577,69,62,0,39,156,Sean Casey,N,215,76,L,R,9/12/1997,9/28/2008,cases001,caseyse01
durhara01,16,18,1975,7408,1249,2054,1343,440,79,0.277267819,0.43574514,192,875,0.354677458,273,97,820,1201,34,72,55,68,151,Ray Durham,N,170,68,B,R,4/26/1995,9/28/2008,durhr001,durhara01
palmera01,20,20,2831,10472,1663,3020,1828,585,38,0.288388083,0.514514897,569,1835,0.379527946,97,40,1353,1348,171,87,15,119,231,Rafael Palmeiro,N,180,72,L,L,9/8/1986,8/30/2005,palmr001,palmera01
gonzalu01,20,21,2591,9157,1412,2591,1573,596,68,0.282952932,0.478868625,354,1439,0.375503702,128,87,1155,1218,150,111,10,98,212,Luis Gonzalez,N,180,74,L,R,9/4/1990,9/28/2008,gonzl001,gonzalu01
torrejo01,18,18,2209,7874,996,2342,1687,344,59,0.297434595,0.452120904,252,1185,0.373864274,23,29,779,1094,127,85,13,50,284,Joe Torre,Y,212,74,R,R,9/25/1960,6/17/1977,torrj101,torrejo01
francju02,7,8,404,996,110,235,133,50,4,0.235943775,0.43875502,48,152,0.300820419,2,6,81,375,6,8,0,6,17,Juan Francisco,N,245,74,L,R,9/14/2009,9/28/2014,franj005,francju02
murphda05,19,20,2180,7960,1197,2111,1324,350,39,0.265201005,0.468969849,398,1266,0.357228326,161,68,986,1748,159,28,6,60,209,Dale Murphy,N,210,76,R,R,9/13/1976,5/21/1993,murpd001,murphda05
alomasa02,22,24,1377,4530,520,1236,865,249,10,0.272847682,0.406401766,112,588,0.311258278,25,24,212,499,15,41,48,34,132,Sandy Alomar,N,200,77,R,R,9/30/1988,9/30/2007,aloms001,alomasa02
whitero02,17,19,1474,5357,756,1519,991,296,34,0.283554228,0.462385664,198,768,0.338786639,94,47,360,925,21,88,5,42,143,Rondell White,N,193,73,R,R,9/1/1993,9/30/2007,whitr001,whitero02
willibe02,16,16,2076,7869,1366,2336,1545,449,55,0.296861101,0.47731605,287,1257,0.387502736,147,87,1069,1212,97,39,12,64,223,Bernie Williams,N,180,74,B,R,7/7/1991,10/1/2006,willb002,willibe02
kleskry01,16,16,1736,5611,874,1564,910,343,33,0.278738193,0.500267332,278,987,0.378107944,91,41,817,1077,84,29,4,55,125,Ryan Klesko,N,220,75,L,L,9/12/1992,9/25/2007,klesr001,kleskry01
sandere02,17,17,1777,6241,1037,1666,960,341,60,0.2669444,0.487421888,305,983,0.347555807,304,115,674,1614,49,71,14,43,121,Reggie Sanders,N,180,72,R,R,8/22/1991,7/29/2007,sandr002,sandere02
greensh01,16,17,1951,7082,1129,2003,1195,445,35,0.282829709,0.494493081,328,1070,0.361612141,162,52,744,1315,80,80,3,53,174,Shawn Green,N,190,76,L,L,9/28/1993,9/29/2007,grees001,greensh01
loftoke01,20,23,2103,8120,1528,2428,1799,383,116,0.299014778,0.422783251,130,781,0.374579033,622,160,945,1016,43,32,72,65,109,Kenny Lofton,N,180,72,L,L,9/14/1991,9/29/2007,loftk001,loftoke01
coninje01,20,23,2024,6957,870,1982,1347,385,36,0.284892914,0.442863303,214,1071,0.350473267,54,29,671,1168,46,41,9,103,182,Jeff Conine,N,205,73,R,R,9/16/1990,9/30/2007,conij001,coninje01
walketo04,15,18,1288,4554,647,1316,895,284,30,0.288976724,0.435002196,107,545,0.352395977,66,37,421,571,34,16,18,46,102,Todd Walker,N,180,72,L,R,8/30/1996,5/10/2007,walkt002,walketo04
claytro01,20,23,2108,7379,935,1904,1376,363,55,0.258029543,0.366851877,110,723,0.315151515,231,100,565,1415,34,45,113,62,218,Royce Clayton,N,175,72,R,R,9/20/1991,9/30/2007,clayr001,claytro01
womacto01,16,20,1303,4963,739,1353,1068,190,59,0.272617369,0.356437639,36,368,0.317917993,363,74,308,649,9,28,57,33,53,Tony Womack,N,160,69,L,R,9/10/1993,6/24/2006,womat001,womacto01
burnije01,16,18,1694,5710,917,1447,805,298,29,0.253415061,0.481260946,315,981,0.35199398,74,58,739,1376,75,78,9,43,99,Jeromy Burnitz,N,190,72,L,R,6/21/1993,9/27/2006,burnj001,burnije01
salmoti01,14,14,1672,5934,986,1674,1012,339,24,0.282103134,0.498483316,299,1016,0.389045737,48,42,970,1360,45,67,0,68,98,Tim Salmon,N,200,75,R,R,8/21/1992,10/1/2006,salmt001,salmoti01
muellbi02,12,13,1216,4223,663,1229,857,265,22,0.291025337,0.424579683,85,493,0.374845869,20,18,543,571,17,35,37,48,105,Bill Mueller,N,175,71,B,R,4/18/1996,5/11/2006,muelb001,muellbi02
larkiba01,19,19,2180,7937,1329,2340,1625,441,76,0.294821721,0.444374449,198,960,0.375110327,379,77,939,817,66,55,59,67,178,Barry Larkin,Y,185,72,R,R,8/13/1986,10/3/2004,larkb001,larkiba01
younger01,18,21,1730,6119,996,1731,1279,327,46,0.282889361,0.390096421,79,543,0.360092405,465,168,660,462,14,89,84,44,135,Eric Young,N,180,69,R,R,7/30/1992,9/19/2006,youne001,younger01
santoro01,15,15,2243,8143,1138,2254,1480,365,67,0.276802161,0.464079578,342,1331,0.368682072,35,41,1108,1343,94,38,13,94,256,Ron Santo,Y,190,72,R,R,6/26/1960,9/29/1974,santr102,santoro01
castivi02,18,20,1854,6822,902,1884,1187,349,28,0.276165347,0.476253298,320,1105,0.326747312,33,43,423,1069,64,60,8,71,224,Vinny Castilla,N,175,73,R,R,9/1/1991,9/28/2006,castv001,castivi02
nevinph01,16,21,1217,4188,584,1131,708,209,6,0.270057307,0.47182426,208,743,0.346723044,18,5,449,1019,30,30,3,33,112,Phil Nevin,N,180,74,R,R,6/11/1995,9/29/2006,nevip001,nevinph01
sierrru01,25,30,2186,8044,1084,2152,1359,428,59,0.267528593,0.449527598,306,1322,0.323201621,142,52,610,1239,102,7,1,120,193,Ruben Sierra,N,175,73,B,R,6/1/1986,7/9/2006,sierr001,sierrru01
lopezja01,16,17,1503,5319,674,1527,981,267,19,0.287084038,0.49106975,260,864,0.341852487,8,19,357,969,43,66,6,45,172,Javy Lopez,N,185,75,R,R,9/18/1992,9/2/2006,lopej001,lopezja01
jordabr01,15,15,1456,5160,755,1454,966,267,37,0.281782946,0.454844961,184,821,0.3362145,119,48,353,842,25,74,2,57,118,Brian Jordan,N,205,73,R,R,4/8/1992,9/30/2006,jordb001,jordabr01
gonzaju03,17,17,1689,6556,1061,1936,1089,388,25,0.295302013,0.560707749,434,1404,0.349937733,26,19,457,1273,74,62,2,78,184,Juan Gonzalez,N,175,75,R,R,9/1/1989,5/31/2005,gonzj002,gonzaju03
parkeda01,20,21,2466,9358,1272,2712,1772,526,75,0.289805514,0.470720239,339,1493,0.349753695,154,113,683,1537,170,56,1,86,209,Dave Parker,N,230,77,L,R,7/12/1973,10/2/1991,parkd001,parkeda01
boonebr01,15,16,1780,6683,927,1775,1129,366,28,0.265599282,0.441867425,252,1021,0.327709542,94,53,552,1295,32,69,55,73,168,Bret Boone,N,180,70,R,R,8/19/1992,7/30/2005,boonb002,boonebr01
santibe01,20,20,1978,6951,755,1830,1249,323,41,0.263271472,0.415192059,217,920,0.311629757,91,69,430,1270,52,38,26,70,205,Benito Santiago,N,180,73,R,R,9/14/1986,4/11/2005,santb001,santibe01
mondera01,16,19,1525,5814,909,1589,950,319,49,0.273305814,0.484864121,271,860,0.33582671,229,92,475,1130,50,41,2,37,93,Raul Mondesi,N,202,71,R,R,7/19/1993,5/27/2005,mondr002,mondera01
martiti02,16,16,2023,7111,1008,1925,1200,365,21,0.270707355,0.470960484,339,1271,0.352434825,27,20,780,1069,102,59,14,80,191,Tino Martinez,N,205,74,L,R,8/20/1990,10/2/2005,martt002,martiti02
olerujo01,18,19,2234,7592,1139,2239,1471,500,13,0.294915701,0.464963119,255,1230,0.408231972,11,14,1275,1016,157,88,12,96,232,John Olerud,N,205,77,L,L,9/3/1989,10/2/2005,olerj001,olerujo01
grissma02,17,17,2165,8275,1187,2251,1582,386,56,0.272024169,0.414501511,227,967,0.321137758,429,116,553,1240,44,31,38,62,171,Marquis Grissom,N,190,71,R,R,8/22/1989,7/31/2005,grism001,grissma02
higgibo02,11,11,1362,4910,736,1336,846,270,33,0.27209776,0.454786151,187,709,0.362068966,91,53,649,796,36,37,12,52,83,Bobby Higginson,N,180,71,L,R,4/26/1995,5/5/2005,higgb001,higgibo02
surhobj01,20,21,2313,8258,1062,2326,1656,440,42,0.281666263,0.413417292,188,1153,0.337867486,141,84,640,839,81,33,71,104,169,B. J. Surhoff,N,185,73,L,R,4/8/1987,10/2/2005,surhb001,surhob.01
alomaro01,19,21,2379,9073,1508,2724,1930,504,80,0.300231456,0.442852419,210,1134,0.375024239,474,114,1032,1140,62,50,148,97,206,Roberto Alomar,Y,184,72,B,R,4/22/1988,9/5/2004,alomr001,alomaro01
johnsch04,14,16,1188,3836,465,940,558,211,4,0.245046924,0.43274244,167,570,0.334167425,6,10,475,997,29,25,18,31,112,Charles Johnson,N,215,74,R,R,5/6/1994,6/11/2005,johnc002,johnsch04
baineha01,27,32,2830,9908,1299,2866,1945,488,49,0.289261203,0.46467501,384,1628,0.366370896,34,34,1062,1441,187,14,9,99,298,Harold Baines,N,175,74,L,L,4/10/1980,9/27/2001,bainh001,baineha01
baergca01,16,18,1630,5439,731,1583,1153,279,17,0.291046148,0.422504137,134,774,0.336379019,59,24,291,580,41,73,26,66,158,Carlos Baerga,N,165,71,B,R,4/14/1990,9/30/2005,baerc001,baergca01
dawsoan01,21,21,2627,9927,1373,2774,1735,503,98,0.279439911,0.482220208,438,1591,0.332200588,314,109,589,1509,143,111,24,118,217,Andre Dawson,Y,180,75,R,R,9/11/1976,9/29/1996,dawsa001,dawsoan01
karroer01,14,14,1755,6441,797,1724,1105,324,11,0.267660301,0.453656265,284,1027,0.326920376,59,30,552,1167,21,31,0,76,181,Eric Karros,N,205,76,R,R,9/1/1991,7/21/2004,karre001,karroer01
lankfra01,15,16,1701,5747,968,1561,913,356,54,0.271619976,0.476596485,238,874,0.370320856,258,117,828,1550,68,36,10,53,77,Ray Lankford,N,180,71,L,L,8/21/1990,10/3/2004,lankr001,lankfra01
herzowh01,9,10,634,1614,213,414,309,60,20,0.256505576,0.364931846,25,172,0.356762513,13,18,241,261,8,7,15,8,25,Whitey Herzog,Y,182,71,L,L,4/17/1956,9/28/1963,herzw101,herzowh01
burksel01,19,20,2000,7232,1253,2107,1290,402,63,0.291344027,0.510370575,352,1206,0.365892421,181,84,793,1340,33,60,29,62,171,Ellis Burks,N,175,74,R,R,4/30/1987,10/2/2004,burke001,burksel01
galaran01,20,21,2257,8096,1195,2333,1458,444,32,0.288166996,0.498764822,399,1425,0.354727857,128,81,583,2003,106,178,1,58,179,Andres Galarraga,N,235,75,R,R,8/23/1985,10/3/2004,galaa001,galaran01
seguida01,18,21,1456,4847,683,1412,973,284,16,0.291314215,0.442541778,139,684,0.365658039,17,19,524,687,56,14,19,45,131,David Segui,N,170,73,B,L,5/8/1990,9/8/2004,segud001,seguida01
bellja01,18,18,2063,7398,1123,1963,1307,394,67,0.265341984,0.415788051,195,860,0.345370039,91,60,853,1443,25,57,159,58,165,Jay Bell,N,180,73,R,R,9/29/1986,9/28/2003,bellj001,bellja01
vaughmo01,12,12,1512,5532,861,1620,1012,270,10,0.292841649,0.523138106,328,1064,0.396246567,30,18,725,1429,144,108,0,45,135,Mo Vaughn,N,225,73,L,R,6/27/1991,5/2/2003,vaugm001,vaughmo01
gordojo01,11,11,1566,5707,914,1530,961,264,52,0.268091817,0.4655686,253,975,0.356889915,89,60,759,702,0,29,41,0,159,Joe Gordon,Y,180,70,R,R,4/18/1938,9/30/1950,gordj101,gordojo01
vaughgr01,16,17,1731,6103,1017,1475,813,284,23,0.241684417,0.470260528,355,1072,0.341768593,121,59,865,1513,54,37,11,54,101,Greg Vaughn,N,195,72,R,R,8/10/1989,7/10/2003,vaugg001,vaughgr01
riceji01,16,16,2089,8225,1249,2452,1618,373,79,0.298115502,0.502006079,382,1451,0.357393209,58,34,670,1423,77,64,5,94,315,Jim Rice,Y,200,74,R,R,8/19/1974,8/3/1989,ricej001,riceji01
gantro01,18,20,1832,6449,1080,1651,978,302,50,0.256008684,0.467669406,321,1008,0.339096107,243,102,770,1411,38,32,12,57,98,Ron Gant,N,172,72,R,R,9/6/1987,5/25/2003,gantr001,gantro01
willima04,17,17,1866,7000,997,1878,1127,338,35,0.268285714,0.488571429,378,1218,0.324296142,53,35,469,1363,86,55,9,62,182,Matt Williams,N,205,74,R,R,4/11/1987,5/31/2003,willm003,willima04
henderi01,29,33,3081,10961,2295,3055,2182,510,66,0.278715446,0.418574948,297,1115,0.403976975,1406,335,2190,1694,61,98,30,67,172,Rickey Henderson,Y,180,70,R,L,6/24/1979,9/19/2003,hendr001,henderi01
justida01,15,16,1610,5625,929,1571,962,280,24,0.279288889,0.500266667,305,1017,0.385489903,53,46,903,999,85,18,1,54,101,David Justice,N,195,75,L,L,5/24/1989,9/29/2002,justd001,justida01
willidi02,15,17,1023,2959,358,768,529,157,12,0.259547144,0.391686381,70,331,0.314992272,12,21,227,392,12,12,42,25,97,Dick Williams,Y,190,72,R,R,6/10/1951,10/1/1964,willd104,willidi02
southbi01,14,15,1192,4359,661,1296,980,173,91,0.297315898,0.41454462,52,561,0.358534031,138,85,402,148,0,14,152,0,0,Billy Southworth,Y,170,69,L,R,8/4/1913,7/9/1929,soutb101,southbi01
knoblch01,12,12,1632,6366,1132,1839,1355,322,64,0.288878417,0.405749293,98,615,0.379585759,407,117,804,730,22,139,20,56,116,Chuck Knoblauch,N,175,69,R,R,4/9/1991,9/27/2002,knobc001,knoblch01
anderbr01,16,17,1834,6499,1062,1661,1046,338,67,0.255577781,0.42514233,210,761,0.367003367,315,100,960,1190,59,154,74,50,65,Brady Anderson,N,170,73,L,L,4/4/1988,5/20/2002,andeb001,anderbr01
dunstsh01,21,24,1814,5927,736,1597,1093,292,62,0.269444913,0.41555593,150,668,0.300925926,212,82,203,1000,44,41,56,49,98,Shawon Dunston,N,175,73,R,R,4/9/1985,9/29/2002,dunss001,dunstsh01
frymatr01,13,13,1698,6481,895,1776,1168,345,40,0.274031785,0.442832896,223,1022,0.337626368,72,38,602,1369,19,41,15,78,154,Travis Fryman,N,180,73,R,R,7/7/1990,9/29/2002,frymt001,frymatr01
garvest01,19,19,2332,8835,1143,2599,1844,440,43,0.294170911,0.44606678,272,1308,0.337314058,83,62,479,1003,113,29,33,90,251,Steve Garvey,N,192,70,R,R,9/1/1969,5/23/1987,garvs001,garvest01
buhneja01,16,17,1472,5013,798,1273,711,233,19,0.253939757,0.493516856,310,965,0.362995299,6,24,792,1406,41,56,12,54,123,Jay Buhner,N,220,75,R,R,9/11/1987,10/7/2001,buhnj001,buhneja01
bicheda01,15,16,1704,6381,934,1906,1204,401,27,0.298699263,0.498824636,274,1141,0.339145597,152,73,355,1078,32,41,5,73,176,Dante Bichette,N,215,75,R,R,9/5/1988,10/6/2001,bichd001,bicheda01
ripkeca01,21,21,3001,11551,1647,3184,2106,603,44,0.27564713,0.447407151,431,1695,0.345608629,36,39,1129,1305,107,66,10,127,350,Cal Ripken,Y,200,76,R,R,8/10/1981,10/6/2001,ripkc001,ripkeca01
whitede03,17,17,1941,7344,1125,1934,1277,378,71,0.263344227,0.419117647,208,846,0.322196,346,98,541,1526,32,87,61,47,98,Devon White,N,170,73,B,R,9/2/1985,10/5/2001,whitd001,whitede03
joynewa01,16,16,2033,7127,973,2060,1421,409,26,0.289041673,0.439595903,204,1106,0.370745395,60,39,833,825,108,38,26,91,168,Wally Joyner,N,185,74,L,L,4/8/1986,6/14/2001,joynw001,joynewa01
caminke01,16,17,1760,6288,894,1710,1106,348,17,0.271946565,0.446723919,239,983,0.356826364,88,39,727,1163,111,29,14,67,152,Ken Caminiti,N,200,72,B,R,7/16/1987,10/7/2001,camik001,caminke01
fernato01,19,21,2158,7911,1057,2276,1676,414,92,0.28770067,0.398938187,94,844,0.350809209,246,138,690,784,48,64,67,61,161,Tony Fernandez,N,165,74,B,R,9/2/1983,10/7/2001,fernt001,fernato01
