playerID,inducted,weight,height,bats,throws,Sum of W,Sum of L,Sum of G,Average of ERA,Sum of GS,Sum of CG,Sum of SHO,Sum of SV,Sum of IPouts,Sum of ER,Sum of H,Sum of HR,Sum of BB,Sum of SO,Sum of BAOpp,Sum of IBB,Sum of WP,Sum of HBP,Sum of BK,Sum of BFP,Sum of GF,Sum of R,Sum of SH,Sum of SF,Sum of GIDP,GS_per_year,CG_per_year,SHO_per_year,SV_per_year,IPouts_per_year,ER_per_year,H_per_year,HR_per_year,BB_per_year,SO_per_year,BAOpp_per_year,IBB_per_year,WP_per_year,HBP_per_year,BK_per_year,BFP_per_year,GF_per_year,R_per_year,SH_per_year,SF_per_year,GIDP_per_year
wagnebi02,N,180.0,70.0,L,L,47,40,853,2.192941176,0,0,0,422,2709,232,601,82,300,1196,2.447,26.0,43.0,33.0,1,3600.0,703.0,262,17.0,10.0,,0.0,0.0,0.0,28.133333333333333,180.6,15.466666666666667,40.06666666666667,5.466666666666667,20.0,79.73333333333333,0.16313333333333332,1.7333333333333334,2.8666666666666667,2.2,0.06666666666666667,240.0,46.86666666666667,17.466666666666665,1.1333333333333333,0.6666666666666666,
hoffmtr01,Y,200.0,73.0,R,R,61,75,1035,2.926315789,0,0,0,601,3268,347,846,100,307,1133,3.629,58.0,49.0,9.0,0,4388.0,856.0,378,19.0,17.0,,0.0,0.0,0.0,35.35294117647059,192.23529411764707,20.41176470588235,49.76470588235294,5.882352941176471,18.058823529411764,66.6470588235294,0.2134705882352941,3.411764705882353,2.8823529411764706,0.5294117647058824,0.0,258.11764705882354,50.35294117647059,22.235294117647058,1.1176470588235294,1.0,
clemero02,N,205.0,76.0,R,R,354,184,709,3.220833333,707,118,46,0,14750,1707,4185,363,1580,4672,4.981,63.0,143.0,159.0,20,20240.0,0.0,1885,37.0,31.0,,30.73913043478261,5.130434782608695,2.0,0.0,641.304347826087,74.21739130434783,181.95652173913044,15.782608695652174,68.69565217391305,203.1304347826087,0.21656521739130435,2.739130434782609,6.217391304347826,6.913043478260869,0.8695652173913043,880.0,0.0,81.95652173913044,1.608695652173913,1.3478260869565217,
hamptmi01,N,185.0,70.0,R,L,148,115,419,4.170625,355,21,9,1,6805,1024,2370,200,901,1387,3.829,49.0,75.0,49.0,13,9824.0,12.0,1157,57.0,37.0,,20.88235294117647,1.2352941176470589,0.5294117647058824,0.058823529411764705,400.29411764705884,60.23529411764706,139.41176470588235,11.764705882352942,53.0,81.58823529411765,0.22523529411764706,2.8823529411764706,4.411764705882353,2.8823529411764706,0.7647058823529411,577.8823529411765,0.7058823529411765,68.05882352941177,3.3529411764705883,2.176470588235294,
mussimi01,N,185.0,74.0,L,R,270,153,537,3.702222222,536,57,23,0,10688,1458,3460,376,785,2813,4.012,29.0,71.0,60.0,1,14593.0,0.0,1559,41.0,43.0,,31.529411764705884,3.3529411764705883,1.3529411764705883,0.0,628.7058823529412,85.76470588235294,203.52941176470588,22.11764705882353,46.1764705882353,165.47058823529412,0.236,1.7058823529411764,4.176470588235294,3.5294117647058822,0.058823529411764705,858.4117647058823,0.0,91.70588235294117,2.411764705882353,2.5294117647058822,
schilcu01,N,205.0,77.0,R,R,216,146,569,3.967619048,436,83,20,22,9783,1253,2998,347,711,3116,4.773,43.0,72.0,52.0,8,13284.0,81.0,1318,50.0,28.0,,22.94736842105263,4.368421052631579,1.0526315789473684,1.1578947368421053,514.8947368421053,65.94736842105263,157.78947368421052,18.263157894736842,37.421052631578945,164.0,0.25121052631578944,2.263157894736842,3.789473684210526,2.736842105263158,0.42105263157894735,699.1578947368421,4.2631578947368425,69.36842105263158,2.6315789473684212,1.4736842105263157,
smithle02,N,220.0,77.0,R,R,71,92,1022,3.002857143,6,0,0,478,3868,434,1133,89,486,1251,4.74,100.0,47.0,10.0,4,5387.0,802.0,475,,,,0.35294117647058826,0.0,0.0,28.11764705882353,227.52941176470588,25.529411764705884,66.6470588235294,5.235294117647059,28.58823529411765,73.58823529411765,0.2788235294117647,5.882352941176471,2.764705882352941,0.5882352941176471,0.23529411764705882,316.88235294117646,47.1764705882353,27.941176470588236,,,
gordoto01,N,160.0,69.0,R,R,138,126,890,4.722727273,203,18,4,158,6324,927,1889,176,977,1928,4.835,57.0,112.0,38.0,5,9058.0,347.0,1016,16.0,12.0,,9.666666666666666,0.8571428571428571,0.19047619047619047,7.523809523809524,301.14285714285717,44.142857142857146,89.95238095238095,8.380952380952381,46.523809523809526,91.80952380952381,0.23023809523809524,2.7142857142857144,5.333333333333333,1.8095238095238095,0.23809523809523808,431.3333333333333,16.523809523809526,48.38095238095238,0.7619047619047619,0.5714285714285714,
martipe02,Y,170.0,71.0,R,R,219,100,476,2.998333333,409,46,17,3,8482,919,2221,239,760,3154,3.502,30.0,62.0,141.0,6,11394.0,23.0,1006,40.0,32.0,,24.058823529411764,2.7058823529411766,1.0,0.17647058823529413,498.94117647058823,54.05882352941177,130.64705882352942,14.058823529411764,44.705882352941174,185.52941176470588,0.206,1.7647058823529411,3.6470588235294117,8.294117647058824,0.35294117647058826,670.2352941176471,1.3529411764705883,59.1764705882353,2.3529411764705883,1.8823529411764706,
johnsra05,Y,225.0,82.0,R,L,303,166,618,3.480833333,603,100,37,2,12406,1513,3346,411,1497,4875,4.672,37.0,109.0,190.0,33,17067.0,7.0,1703,75.0,39.0,,28.714285714285715,4.761904761904762,1.7619047619047619,0.09523809523809523,590.7619047619048,72.04761904761905,159.33333333333334,19.571428571428573,71.28571428571429,232.14285714285714,0.22247619047619047,1.7619047619047619,5.190476190476191,9.047619047619047,1.5714285714285714,812.7142857142857,0.3333333333333333,81.0952380952381,3.5714285714285716,1.8571428571428572,
